token,count_pos,count_neg,count_total,log_odds_food,sem_sim_food,logodds_z,semsim_z,final_score
實,46,0,46,0.2717943120229931,0.7766845226287842,1.505714771623962,-0.6556034055493217,0.6411875007546485
很足,22,0,22,-0.44465884927185595,0.9075955748558044,0.6816405463956258,0.5756926116356871,0.6392613724916503
不貴,30,0,30,-0.14556629538275168,0.8524171710014343,1.0256608926416715,0.056707027571389575,0.6380793466135587
苦,24,0,24,-0.3611273826972772,0.8916382789611816,0.7777195817302244,0.42560478829424164,0.6368736643558313
不膩,62,0,62,0.5659830891209365,0.720142662525177,1.844094726734647,-1.1874131035500062,0.6314915946207857
很棒,147,2,149,0.32246560284075176,0.7596235871315002,1.5639975833663189,-0.8160716133124564,0.6119699046948088
很夠,33,0,33,-0.05296804554132262,0.8269622921943665,1.1321686660984374,-0.18271119082866555,0.6062167233275962
滿,109,2,111,0.022863819022723497,0.8098863363265991,1.2193915138911613,-0.3433206740764764,0.5943066387041063
飽足,22,0,22,-0.44465884927185595,0.8951947093009949,0.6816405463956258,0.4590551229933629,0.5926063770347205
偏重,20,0,20,-0.5357804626591633,0.9096711874008179,0.5768312203847124,0.5952149775201374,0.5841847232388824
高麗,23,0,23,-0.40202430884246,0.8843259215354919,0.7306793779206661,0.35682773378801735,0.5811387202676066
脆,55,0,55,0.44767415284764667,0.7212713956832886,1.7080141700925406,-1.1767966993701873,0.5540898223074495
很好,39,1,40,-0.5858380770113287,0.9025397896766663,0.5192542677064855,0.5281399562340604,0.5228085431175155
有趣,15,0,15,-0.8080886679048866,0.938632607460022,0.26361859828444123,0.8676142941880675,0.5052168766458918
甜膩,39,0,39,0.11000089521432788,0.7698244452476501,1.3196177707220766,-0.7201264982391831,0.5037200631375728
厚,35,0,35,0.004340349551251066,0.7853745818138123,1.1980855659550025,-0.5738682496430692,0.48930403971577385
鮮,106,0,106,1.0989892062406996,0.5819670557975769,2.4571656527022263,-2.487036560405087,0.479484767459301
很甜,17,0,17,-0.6901558531723602,0.9065054655075073,0.39926653478605434,0.565439487273607,0.4657357157810754
不小,11,0,11,-1.0960702312244344,0.9793471693992615,-0.06762173464073579,1.2505588745301595,0.4596505090276224
不錯,694,8,702,0.7964543074059298,0.6291200518608093,2.1091858742178733,-2.0435346920501174,0.44809764771067706
最愛,30,1,31,-0.8414052676084083,0.9282992482185364,0.2252973896260803,0.7704229275178286,0.4433476047827797
脆脆,27,0,27,-0.2475738688211102,0.8184844255447388,0.9083303864900724,-0.26245055020536456,0.4400180118118976
慢,13,0,13,-0.9417698171751399,0.9441660046577454,0.1098567120036702,0.9196591736321976,0.4337776966550812
歡,16,0,16,-0.7473891593546016,0.9077903628349304,0.333436003221163,0.577524708000457,0.4310714851328806
粗,19,0,19,-0.5846455360012586,0.877325177192688,0.5206259446869465,0.29098158497182286,0.42876820080089706
偏貴,14,0,14,-0.8727020701687049,0.929165244102478,0.18929937926712162,0.7785681319498183,0.4250068803402003
甜甜,15,0,15,-0.8080886679048866,0.9172424674034119,0.26361859828444123,0.6664273522860191,0.4247420998850724
黑,20,0,20,-0.5357804626591633,0.8660606741905212,0.5768312203847124,0.18503225948566107,0.42011163602509183
黏,12,0,12,-1.015952659242422,0.9535004496574402,0.024530592440812696,1.0074551599544623,0.41770041944627256
