token,count_pos,count_neg,count_total,log_odds_food
唐揚,7,0,7,-1.3993214312318205
不太能,7,0,7,-1.3993214312318205
辣醬,7,0,7,-1.3993214312318205
愛店,7,0,7,-1.3993214312318205
海綿,7,0,7,-1.3993214312318205
荷包蛋,7,0,7,-1.3993214312318205
大蒜,7,0,7,-1.3993214312318205
韭菜,7,0,7,-1.3993214312318205
影片,7,0,7,-1.3993214312318205
嫩豆腐,7,0,7,-1.3993214312318205
昆布,7,0,7,-1.3993214312318205
糖粉,7,0,7,-1.3993214312318205
白色,7,0,7,-1.3993214312318205
著,7,0,7,-1.3993214312318205
芋香,7,0,7,-1.3993214312318205
煎蛋,7,0,7,-1.3993214312318205
焦,7,0,7,-1.3993214312318205
正餐,7,0,7,-1.3993214312318205
對面,7,0,7,-1.3993214312318205
新竹人,7,0,7,-1.3993214312318205
肉肉,7,0,7,-1.3993214312318205
外婆,7,0,7,-1.3993214312318205
手套,7,0,7,-1.3993214312318205
橄欖油,7,0,7,-1.3993214312318205
油雞,7,0,7,-1.3993214312318205
營養,7,0,7,-1.3993214312318205
寶藏,7,0,7,-1.3993214312318205
酒精,7,0,7,-1.3993214312318205
光是,7,0,7,-1.3993214312318205
布蕾,7,0,7,-1.3993214312318205
蘆筍,7,0,7,-1.3993214312318205
冰店,7,0,7,-1.3993214312318205
師傅,15,1,16,-1.399785710395813
王子,15,1,16,-1.399785710395813
評,15,1,16,-1.399785710395813
老公,15,1,16,-1.399785710395813
咖喱,15,1,16,-1.399785710395813
技術,15,1,16,-1.399785710395813
價值,15,1,16,-1.399785710395813
阿姨,15,1,16,-1.399785710395813
炸雞,23,2,25,-1.4002503465364189
石頭,23,2,25,-1.4002503465364189
湯底,23,2,25,-1.4002503465364189
錢,31,3,34,-1.4007153401157186
火鍋,107,13,120,-1.441828850201066
菜盤,22,2,24,-1.4428289718199245
竹北,14,1,15,-1.4643432395072296
媽媽,14,1,15,-1.4643432395072296
霜淇淋,14,1,15,-1.4643432395072296
客,14,1,15,-1.4643432395072296
碳,21,2,23,-1.4872997448940621
視覺,21,2,23,-1.4872997448940621
